,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97
82,2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
85,2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182
88,2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
89,2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0,48,48
90,2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
91,2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
92,2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0,6,6
93,2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
95,2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
97,2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
98,2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88
100,2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
101,2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
103,2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
104,2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
106,2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62
112,2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43
114,2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,1,18,19
115,2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,0,11,11
116,2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,0,4,4
117,2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,0,2,2
118,2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1
119,2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4
121,2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,0,95,95
124,2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,3,42,45
125,2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59
126,2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,6,78,84
128,2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70
131,2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172
132,2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163
134,2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69
135,2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48
139,2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7
140,2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1
141,2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1
142,2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,0,5,5
143,2011-01-07 06:00:00,1,0,1,2,8.2,12.88,69,0.0,8,26,34
144,2011-01-07 07:00:00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84
145,2011-01-07 08:00:00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210
146,2011-01-07 09:00:00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134
149,2011-01-07 12:00:00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59
150,2011-01-07 13:00:00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73
151,2011-01-07 14:00:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
152,2011-01-07 15:00:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
153,2011-01-07 16:00:00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87
154,2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,9,178,187
155,2011-01-07 18:00:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
156,2011-01-07 19:00:00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95
157,2011-01-07 20:00:00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51
160,2011-01-07 23:00:00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15
163,2011-01-08 02:00:00,1,0,0,2,7.38,12.12,55,0.0,3,13,16
164,2011-01-08 03:00:00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7
167,2011-01-08 06:00:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
169,2011-01-08 08:00:00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15
171,2011-01-08 10:00:00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61
173,2011-01-08 12:00:00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98
175,2011-01-08 14:00:00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95
178,2011-01-08 17:00:00,1,0,0,1,6.56,6.06,37,36.9974,5,64,69
180,2011-01-08 19:00:00,1,0,0,1,5.74,6.06,36,16.9979,4,26,30
181,2011-01-08 20:00:00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
182,2011-01-08 21:00:00,1,0,0,1,4.92,5.305,39,23.9994,2,35,37
187,2011-01-09 02:00:00,1,0,0,1,4.1,3.03,46,31.0009,0,11,11
188,2011-01-09 03:00:00,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
191,2011-01-09 06:00:00,1,0,0,1,4.1,4.545,49,19.0012,0,1,1
194,2011-01-09 09:00:00,1,0,0,1,4.92,3.79,46,35.0008,0,19,19
195,2011-01-09 10:00:00,1,0,0,1,5.74,5.305,43,26.0027,0,49,49
196,2011-01-09 11:00:00,1,0,0,1,6.56,6.06,40,35.0008,2,47,49
199,2011-01-09 14:00:00,1,0,0,1,9.02,9.09,32,31.0009,8,64,72
200,2011-01-09 15:00:00,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
201,2011-01-09 16:00:00,1,0,0,1,8.2,8.335,34,30.0026,13,79,92
202,2011-01-09 17:00:00,1,0,0,1,7.38,7.575,37,26.0027,3,59,62
203,2011-01-09 18:00:00,1,0,0,1,6.56,6.82,40,22.0028,4,44,48
204,2011-01-09 19:00:00,1,0,0,1,6.56,6.82,43,22.0028,1,40,41
205,2011-01-09 20:00:00,1,0,0,1,5.74,6.06,46,16.9979,0,38,38
207,2011-01-09 22:00:00,1,0,0,1,5.74,6.06,46,19.9995,5,10,15
209,2011-01-10 00:00:00,1,0,1,1,4.92,6.06,50,19.0012,2,3,5
210,2011-01-10 01:00:00,1,0,1,1,4.92,6.06,50,19.0012,1,0,1
211,2011-01-10 02:00:00,1,0,1,1,4.92,6.06,50,15.0013,0,3,3
212,2011-01-10 03:00:00,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
213,2011-01-10 04:00:00,1,0,1,1,4.1,6.06,54,8.9981,1,2,3
216,2011-01-10 07:00:00,1,0,1,1,4.92,6.06,50,15.0013,2,75,77
218,2011-01-10 09:00:00,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
219,2011-01-10 10:00:00,1,0,1,2,5.74,6.06,50,19.9995,0,31,31
220,2011-01-10 11:00:00,1,0,1,2,6.56,6.82,47,19.0012,2,28,30
222,2011-01-10 13:00:00,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
223,2011-01-10 14:00:00,1,0,1,2,8.2,9.85,40,15.0013,0,47,47
224,2011-01-10 15:00:00,1,0,1,2,8.2,9.85,40,15.0013,2,43,45
225,2011-01-10 16:00:00,1,0,1,1,8.2,10.605,40,8.9981,4,70,74
229,2011-01-10 20:00:00,1,0,1,1,6.56,8.335,50,11.0014,1,73,74
231,2011-01-10 22:00:00,1,0,1,1,5.74,7.575,59,11.0014,2,22,24
235,2011-01-11 02:00:00,1,0,1,2,6.56,7.575,55,12.998,0,3,3
237,2011-01-11 06:00:00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
239,2011-01-11 08:00:00,1,0,1,2,7.38,10.605,51,6.0032,3,214,217
241,2011-01-11 10:00:00,1,0,1,2,8.2,10.605,51,11.0014,3,51,54
242,2011-01-11 11:00:00,1,0,1,2,8.2,10.605,47,8.9981,4,31,35
243,2011-01-11 12:00:00,1,0,1,2,8.2,11.365,51,7.0015,2,55,57
245,2011-01-11 14:00:00,1,0,1,2,8.2,11.365,59,6.0032,3,60,63
246,2011-01-11 15:00:00,1,0,1,2,6.56,9.85,80,6.0032,2,45,47
248,2011-01-11 17:00:00,1,0,1,2,6.56,7.575,86,15.0013,6,130,136
249,2011-01-11 18:00:00,1,0,1,3,6.56,9.09,93,7.0015,1,94,95
250,2011-01-11 19:00:00,1,0,1,3,6.56,11.365,93,0.0,0,51,51
252,2011-01-11 21:00:00,1,0,1,3,6.56,9.85,86,6.0032,0,20,20
253,2011-01-11 22:00:00,1,0,1,3,6.56,9.09,93,7.0015,1,28,29
254,2011-01-11 23:00:00,1,0,1,3,6.56,9.85,93,6.0032,1,18,19
255,2011-01-12 00:00:00,1,0,1,2,6.56,9.85,86,6.0032,0,7,7
256,2011-01-12 01:00:00,1,0,1,2,6.56,9.09,86,7.0015,0,6,6
258,2011-01-12 05:00:00,1,0,1,1,5.74,7.575,86,11.0014,0,5,5
259,2011-01-12 06:00:00,1,0,1,1,4.92,7.575,93,8.9981,0,16,16
261,2011-01-12 08:00:00,1,0,1,1,6.56,8.335,59,11.0014,3,125,128
262,2011-01-12 09:00:00,1,0,1,1,6.56,6.82,59,22.0028,3,78,81
263,2011-01-12 10:00:00,1,0,1,1,7.38,9.09,55,15.0013,0,39,39
264,2011-01-12 11:00:00,1,0,1,1,8.2,9.09,51,26.0027,3,32,35
267,2011-01-12 14:00:00,1,0,1,1,8.2,9.09,47,22.0028,0,44,44
268,2011-01-12 15:00:00,1,0,1,1,8.2,8.335,47,27.9993,1,48,49
269,2011-01-12 16:00:00,1,0,1,1,9.02,9.85,44,22.0028,5,63,68
271,2011-01-12 18:00:00,1,0,1,1,8.2,7.575,47,35.0008,2,135,137
272,2011-01-12 19:00:00,1,0,1,1,7.38,7.575,47,27.9993,1,82,83
273,2011-01-12 20:00:00,1,0,1,1,6.56,6.82,50,22.0028,2,54,56
274,2011-01-12 21:00:00,1,0,1,1,6.56,6.82,55,22.0028,0,57,57
275,2011-01-12 22:00:00,1,0,1,1,6.56,6.06,55,30.0026,1,32,33
276,2011-01-12 23:00:00,1,0,1,1,5.74,5.305,59,27.9993,1,19,20
277,2011-01-13 00:00:00,1,0,1,1,5.74,6.06,59,19.0012,1,6,7
278,2011-01-13 01:00:00,1,0,1,1,5.74,6.06,50,19.0012,0,2,2
280,2011-01-13 03:00:00,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
281,2011-01-13 04:00:00,1,0,1,1,5.74,6.06,50,16.9979,0,4,4
282,2011-01-13 05:00:00,1,0,1,1,5.74,6.06,50,19.9995,0,3,3
283,2011-01-13 06:00:00,1,0,1,1,4.92,7.575,54,8.9981,0,28,28
284,2011-01-13 07:00:00,1,0,1,1,4.92,7.575,54,8.9981,0,72,72
285,2011-01-13 08:00:00,1,0,1,1,5.74,6.82,50,12.998,5,197,202
289,2011-01-13 12:00:00,1,0,1,1,8.2,8.335,44,27.9993,3,49,52
290,2011-01-13 13:00:00,1,0,1,1,9.02,9.85,41,30.0026,2,81,83
293,2011-01-13 16:00:00,1,0,1,1,9.84,10.605,38,23.9994,2,76,78
295,2011-01-13 18:00:00,1,0,1,1,8.2,9.09,40,22.0028,3,141,144
297,2011-01-13 20:00:00,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
298,2011-01-13 21:00:00,1,0,1,1,5.74,6.06,46,19.9995,0,40,40
300,2011-01-13 23:00:00,1,0,1,1,4.92,6.82,50,12.998,1,14,15
301,2011-01-14 00:00:00,1,0,1,1,4.92,6.82,50,12.998,0,14,14
303,2011-01-14 02:00:00,1,0,1,1,4.1,6.06,54,8.9981,0,1,1
304,2011-01-14 03:00:00,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
309,2011-01-14 09:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,117,117
313,2011-01-14 13:00:00,1,0,1,1,9.02,9.85,37,26.0027,4,73,77
317,2011-01-14 17:00:00,1,0,1,1,9.02,11.365,41,11.0014,4,155,159
318,2011-01-14 18:00:00,1,0,1,1,8.2,12.88,47,0.0,5,134,139
321,2011-01-14 21:00:00,1,0,1,1,6.56,11.365,69,0.0,4,48,52
326,2011-01-15 02:00:00,1,0,0,2,6.56,9.85,59,6.0032,0,12,12
327,2011-01-15 03:00:00,1,0,0,2,6.56,11.365,59,0.0,1,7,8
328,2011-01-15 04:00:00,1,0,0,2,6.56,11.365,59,0.0,0,5,5
329,2011-01-15 05:00:00,1,0,0,1,6.56,11.365,59,0.0,0,1,1
330,2011-01-15 06:00:00,1,0,0,1,5.74,8.335,63,7.0015,1,2,3
331,2011-01-15 07:00:00,1,0,0,1,5.74,10.605,63,0.0,1,9,10
334,2011-01-15 10:00:00,1,0,0,1,7.38,9.85,59,11.0014,2,57,59
336,2011-01-15 12:00:00,1,0,0,1,9.84,11.365,48,15.0013,15,74,89
338,2011-01-15 14:00:00,1,0,0,1,12.3,14.395,39,19.0012,26,92,118
340,2011-01-15 16:00:00,1,0,0,2,13.94,16.665,34,12.998,33,95,128
341,2011-01-15 17:00:00,1,0,0,2,13.12,15.15,36,19.0012,29,54,83
344,2011-01-15 20:00:00,1,0,0,2,13.12,15.15,39,16.9979,6,35,41
345,2011-01-15 21:00:00,1,0,0,2,13.12,15.15,39,15.0013,6,51,57
346,2011-01-15 22:00:00,1,0,0,2,12.3,15.91,42,7.0015,0,26,26
347,2011-01-15 23:00:00,1,0,0,1,12.3,14.395,45,19.0012,5,39,44
348,2011-01-16 00:00:00,1,0,0,1,10.66,15.15,56,0.0,6,33,39
350,2011-01-16 02:00:00,1,0,0,1,10.66,14.395,56,6.0032,3,13,16
354,2011-01-16 06:00:00,1,0,0,2,10.66,12.88,56,11.0014,0,1,1
355,2011-01-16 07:00:00,1,0,0,2,9.84,10.605,56,19.9995,0,3,3
356,2011-01-16 08:00:00,1,0,0,1,9.02,10.605,55,19.0012,0,18,18
357,2011-01-16 09:00:00,1,0,0,1,9.02,10.605,51,16.9979,3,29,32
358,2011-01-16 10:00:00,1,0,0,1,9.02,10.605,51,19.0012,8,71,79
359,2011-01-16 11:00:00,1,0,0,1,9.84,11.365,44,16.9979,23,70,93
360,2011-01-16 12:00:00,1,0,0,1,9.84,10.605,41,19.0012,29,75,104
361,2011-01-16 13:00:00,1,0,0,1,10.66,11.365,35,19.9995,23,95,118
363,2011-01-16 15:00:00,1,0,0,1,10.66,12.12,38,16.9979,35,78,113
365,2011-01-16 17:00:00,1,0,0,1,9.02,10.605,37,16.9979,23,82,105
367,2011-01-16 19:00:00,1,0,0,1,7.38,9.85,47,8.9981,14,47,61
368,2011-01-16 20:00:00,1,0,0,1,7.38,9.85,47,11.0014,7,50,57
369,2011-01-16 21:00:00,1,0,0,1,7.38,9.85,51,11.0014,6,22,28
370,2011-01-16 22:00:00,1,0,0,2,8.2,10.605,49,8.9981,2,19,21
372,2011-01-17 00:00:00,1,1,0,2,8.2,9.85,47,15.0013,1,16,17
373,2011-01-17 01:00:00,1,1,0,2,8.2,9.85,44,12.998,1,15,16
375,2011-01-17 03:00:00,1,1,0,2,7.38,9.09,43,12.998,0,2,2
379,2011-01-17 07:00:00,1,1,0,2,6.56,9.09,50,8.9981,4,9,13
381,2011-01-17 09:00:00,1,1,0,2,6.56,7.575,47,15.0013,8,39,47
382,2011-01-17 10:00:00,1,1,0,2,6.56,7.575,50,16.9979,7,50,57
383,2011-01-17 11:00:00,1,1,0,2,6.56,7.575,55,12.998,9,55,64
385,2011-01-17 13:00:00,1,1,0,2,7.38,9.85,47,8.9981,13,80,93
386,2011-01-17 14:00:00,1,1,0,2,7.38,10.605,43,7.0015,12,74,86
387,2011-01-17 15:00:00,1,1,0,2,8.2,10.605,47,11.0014,21,72,93
389,2011-01-17 17:00:00,1,1,0,1,8.2,9.85,51,12.998,4,67,71
391,2011-01-17 19:00:00,1,1,0,3,7.38,9.09,59,12.998,2,58,60
392,2011-01-17 20:00:00,1,1,0,3,6.56,7.575,80,12.998,4,29,33
394,2011-01-17 22:00:00,1,1,0,3,5.74,6.06,93,16.9979,0,13,13
396,2011-01-18 12:00:00,1,0,1,2,8.2,9.09,86,22.0028,0,3,3
397,2011-01-18 13:00:00,1,0,1,2,8.2,9.85,86,15.0013,0,22,22
398,2011-01-18 14:00:00,1,0,1,2,9.02,11.365,80,11.0014,2,26,28
400,2011-01-18 16:00:00,1,0,1,2,9.02,11.365,87,12.998,0,61,61
402,2011-01-18 18:00:00,1,0,1,2,9.02,11.365,80,11.0014,1,132,133
404,2011-01-18 20:00:00,1,0,1,2,9.02,13.635,87,0.0,0,83,83
405,2011-01-18 21:00:00,1,0,1,2,9.02,12.12,93,7.0015,0,41,41
407,2011-01-18 23:00:00,1,0,1,2,9.02,13.635,93,0.0,1,19,20
409,2011-01-19 01:00:00,1,0,1,3,9.02,11.365,93,8.9981,1,6,7
412,2011-01-19 05:00:00,1,0,1,2,9.02,12.88,93,6.0032,0,7,7
413,2011-01-19 06:00:00,1,0,1,2,9.02,12.88,93,6.0032,0,32,32
415,2011-01-19 08:00:00,1,0,1,2,9.84,12.88,93,7.0015,1,196,197
416,2011-01-19 09:00:00,1,0,1,2,9.84,12.88,93,7.0015,2,107,109
417,2011-01-19 10:00:00,1,0,1,2,10.66,13.635,93,8.9981,1,46,47
418,2011-01-19 11:00:00,1,0,1,2,11.48,15.15,87,6.0032,5,47,52
420,2011-01-19 13:00:00,1,0,1,1,16.4,20.455,62,19.0012,11,67,78
421,2011-01-19 14:00:00,1,0,1,1,16.4,20.455,58,16.9979,7,68,75
423,2011-01-19 16:00:00,1,0,1,1,15.58,19.695,58,26.0027,10,94,104
425,2011-01-19 18:00:00,1,0,1,1,13.94,15.91,61,19.0012,5,156,161
426,2011-01-19 19:00:00,1,0,1,1,13.12,14.395,57,27.9993,4,108,112
427,2011-01-19 20:00:00,1,0,1,1,13.12,15.15,49,19.9995,2,74,76
428,2011-01-19 21:00:00,1,0,1,1,13.12,14.395,49,27.9993,4,55,59
433,2011-02-01 02:00:00,1,0,1,2,6.56,11.365,69,0.0,0,2,2
434,2011-02-01 03:00:00,1,0,1,2,6.56,11.365,69,0.0,0,2,2
436,2011-02-01 06:00:00,1,0,1,3,5.74,10.605,93,0.0,0,22,22
438,2011-02-01 08:00:00,1,0,1,3,6.56,11.365,93,0.0,3,132,135
441,2011-02-01 11:00:00,1,0,1,2,7.38,12.12,86,0.0,2,49,51
443,2011-02-01 13:00:00,1,0,1,2,8.2,12.88,86,0.0,3,49,52
444,2011-02-01 14:00:00,1,0,1,2,9.02,12.88,80,6.0032,5,49,54
445,2011-02-01 15:00:00,1,0,1,2,9.84,14.395,75,0.0,7,45,52
447,2011-02-01 17:00:00,1,0,1,2,9.84,14.395,75,0.0,4,172,176
450,2011-02-01 20:00:00,1,0,1,2,9.02,11.365,87,8.9981,5,69,74
452,2011-02-01 22:00:00,1,0,1,2,9.02,12.88,87,6.0032,2,34,36
453,2011-02-01 23:00:00,1,0,1,3,8.2,9.85,93,12.998,1,15,16
454,2011-02-02 00:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,2,2
457,2011-02-02 03:00:00,1,0,1,3,9.02,11.365,93,8.9981,0,1,1
458,2011-02-02 04:00:00,1,0,1,3,9.02,10.605,93,19.0012,0,1,1
459,2011-02-02 05:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,3,3
461,2011-02-02 07:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,48,49
462,2011-02-02 08:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,154,155
463,2011-02-02 09:00:00,1,0,1,2,9.84,12.88,93,6.0032,4,119,123
468,2011-02-02 14:00:00,1,0,1,1,15.58,19.695,82,26.0027,2,61,63
474,2011-02-02 20:00:00,1,0,1,1,9.84,9.85,48,36.9974,4,71,75
475,2011-02-02 21:00:00,1,0,1,1,9.02,9.85,47,22.0028,1,62,63
476,2011-02-02 22:00:00,1,0,1,1,9.02,10.605,44,16.9979,5,35,40
477,2011-02-02 23:00:00,1,0,1,1,8.2,8.335,44,30.0026,3,29,32
479,2011-02-03 01:00:00,1,0,1,1,8.2,7.575,44,35.0008,0,5,5
480,2011-02-03 02:00:00,1,0,1,1,7.38,8.335,43,16.9979,0,2,2
483,2011-02-03 06:00:00,1,0,1,1,6.56,6.82,43,23.9994,0,39,39
484,2011-02-03 07:00:00,1,0,1,1,5.74,6.06,50,22.0028,1,86,87
485,2011-02-03 08:00:00,1,0,1,1,5.74,6.06,50,23.9994,4,184,188
486,2011-02-03 09:00:00,1,0,1,1,6.56,6.82,47,19.9995,6,127,133
487,2011-02-03 10:00:00,1,0,1,1,7.38,7.575,43,22.0028,2,50,52
488,2011-02-03 11:00:00,1,0,1,1,7.38,6.82,43,30.0026,9,55,64
489,2011-02-03 12:00:00,1,0,1,1,8.2,9.09,40,23.9994,2,67,69
490,2011-02-03 13:00:00,1,0,1,1,8.2,8.335,40,27.9993,4,47,51
493,2011-02-03 16:00:00,1,0,1,1,9.02,10.605,37,16.9979,5,73,78
495,2011-02-03 18:00:00,1,0,1,1,8.2,10.605,40,11.0014,2,145,147
496,2011-02-03 19:00:00,1,0,1,1,8.2,12.88,40,0.0,4,92,96
498,2011-02-03 21:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,53,54
499,2011-02-03 22:00:00,1,0,1,1,7.38,10.605,51,6.0032,2,39,41
500,2011-02-03 23:00:00,1,0,1,1,8.2,11.365,47,7.0015,4,34,38
501,2011-02-04 00:00:00,1,0,1,2,8.2,12.88,44,0.0,3,10,13
502,2011-02-04 01:00:00,1,0,1,2,6.56,11.365,59,0.0,0,7,7
504,2011-02-04 03:00:00,1,0,1,2,5.74,8.335,63,7.0015,0,1,1
505,2011-02-04 05:00:00,1,0,1,2,5.74,7.575,63,8.9981,0,7,7
506,2011-02-04 06:00:00,1,0,1,2,6.56,11.365,55,0.0,2,26,28
507,2011-02-04 07:00:00,1,0,1,1,5.74,10.605,59,0.0,0,87,87
509,2011-02-04 09:00:00,1,0,1,2,6.56,9.09,80,8.9981,3,124,127
511,2011-02-04 11:00:00,1,0,1,1,9.02,11.365,51,11.0014,3,61,64
512,2011-02-04 12:00:00,1,0,1,2,9.84,12.12,48,11.0014,8,78,86
513,2011-02-04 13:00:00,1,0,1,2,10.66,12.88,50,15.0013,9,73,82
516,2011-02-04 16:00:00,1,0,1,2,12.3,14.395,42,15.0013,8,91,99
517,2011-02-04 17:00:00,1,0,1,2,10.66,13.635,56,8.9981,10,195,205
518,2011-02-04 18:00:00,1,0,1,2,9.84,12.88,60,7.0015,3,152,155
519,2011-02-04 19:00:00,1,0,1,2,9.84,12.12,65,8.9981,1,102,103
